Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.797153024911032,0.6012084592145015,0.5653409090909091,0.582723279648609
KNN,0.7793594306049823,0.56,0.5568181818181818,0.5584045584045584
Decision Tree,0.7822064056939502,0.5761589403973509,0.4943181818181818,0.5321100917431193
Random Forest,0.802846975088968,0.6306620209059234,0.5142045454545454,0.5665101721439749
